Date,Close/Last,Volume,Open,High,Low
2019-06-25,15.36,3591536,16.19,16.22,15.25
2019-06-26,15.82,3024393,15.47,15.975,15.39
2019-06-27,15.85,1715295,15.95,15.95,15.61
2019-06-28,16.04,3292135,15.94,16.3,15.85
2019-07-01,16.07,2519477,16.35,16.53,15.81
2019-07-02,15.77,2673934,16.09,16.1,15.7
2019-07-03,16.37,1456923,15.79,16.4,15.685
2019-07-05,17.15,3366959,16.31,17.17,16.26
2019-07-08,17.4,3700155,17.32,17.9285,17.07
2019-07-09,17.01,3717288,17.21,17.5,16.89
2019-07-10,17.08,2604169,17.02,17.18,16.89
2019-07-11,17.36,3219315,17.71,17.9,17.01
2019-07-12,18.1,2523441,17.38,18.25,17.38
2019-07-15,18.19,2414592,18.16,18.42,17.98
2019-07-16,18.43,1964582,18.21,18.685,18.16
2019-07-17,18.52,1804870,18.46,18.605,18.01
2019-07-18,18.61,2141651,18.52,18.85,18.28
2019-07-19,18.6,1838832,18.62,18.96,18.51
2019-07-22,18.09,2456282,18.7,18.94,17.85
2019-07-23,18.17,1684397,18.18,18.32,17.86
2019-07-24,18.22,2070434,18.08,18.46,17.8415
2019-07-25,17.91,2391293,18.16,18.35,17.58
2019-07-26,18.13,1407351,17.95,18.24,17.7402
2019-07-29,18.86,1789239,18.2,18.9,18.06
2019-07-30,18.78,1676706,18.77,18.8258,18.455
2019-07-31,18.93,1944128,18.73,19.18,18.55
2019-08-01,16.81,4507000,18.95,19.13,16.55
2019-08-02,17.53,3052636,16.91,17.99,16.58
2019-08-05,16.81,4119020,16.98,17.2,16.03
2019-08-06,17.03,2892422,16.74,17.04,16.33
2019-08-07,16.98,1778405,16.74,17.19,16.58
2019-08-08,17.52,2703897,16.99,17.54,16.95
2019-08-09,16.57,2088879,17.42,17.47,16.455
2019-08-12,16.25,1990695,16.44,16.49,15.985
2019-08-13,16.73,4186981,16.23,17.88,15.98
2019-08-14,15.61,3056842,16.11,16.11,15.48
2019-08-15,15.17,2270814,15.67,15.76,15.0
2019-08-16,15.63,2805156,15.3,15.82,15.28
2019-08-19,15.79,2194663,15.9,16.14,15.56
2019-08-20,15.66,3111942,15.6,15.765,15.21
2019-08-21,16.59,3158158,15.95,16.68,15.85
2019-08-22,17.0,3122840,16.61,17.04,16.535
2019-08-23,16.43,2937527,16.71,16.93,16.18
2019-08-26,16.87,1811663,16.52,16.88,16.42
2019-08-27,16.57,1922092,16.99,17.01,16.455
2019-08-28,17.02,2632559,16.55,17.21,16.45
2019-08-29,14.45,14182500,14.715,15.48,14.1825
2019-08-30,14.62,5848649,14.71,15.49,14.55
2019-09-03,13.84,7061043,14.38,14.39,13.58
2019-09-04,14.71,4205507,13.86,14.82,13.68
