Date,Close/Last,Volume,Open,High,Low
2019-06-25,60.31,1388919,62.52,63.39,59.37
2019-06-26,59.07,958220,60.94,61.67,58.9
2019-06-27,61.98,893364,59.46,62.28,59.46
2019-06-28,62.59,4044301,61.99,63.47,61.6
2019-07-01,65.61,1364706,63.74,65.9,62.175
2019-07-02,64.7,929538,66.33,67.2231,64.18
2019-07-03,64.17,512048,64.74,65.1093,63.07
2019-07-05,65.79,560282,63.65,66.07,63.3761
2019-07-08,66.61,1028701,65.37,67.18,65.0196
2019-07-09,66.12,1107174,66.41,67.83,65.34
2019-07-10,67.65,2116171,66.98,68.12,66.7759
2019-07-11,64.59,1941402,67.44,67.65,64.02
2019-07-12,67.31,908636,64.6,68.08,64.6
2019-07-15,65.9,1159199,67.3,67.78,65.45
2019-07-16,62.01,1991762,65.73,66.5,61.09
2019-07-17,60.92,1523228,62.12,62.6,60.45
2019-07-18,59.64,1486588,60.38,60.45,58.7562
2019-07-19,57.91,1448211,59.64,60.63,57.81
2019-07-22,58.45,1106804,58.24,59.35,57.4025
2019-07-23,62.63,1651729,58.84,62.71,58.84
2019-07-24,65.16,1868804,62.45,65.65,62.3
2019-07-25,65.63,1378585,64.73,65.87,64.1
2019-07-26,66.45,1184921,65.95,67.79,63.21
2019-07-29,65.54,864529,65.98,66.305,63.53
2019-07-30,62.34,1589762,64.73,64.785,61.9
2019-07-31,63.56,1157623,62.31,64.75,62.02
2019-08-01,62.81,924885,63.46,65.65,62.32
2019-08-02,62.39,1108104,62.41,62.79,59.92
2019-08-05,60.97,1020214,60.16,61.46,59.305
2019-08-06,59.78,2106312,61.83,62.97,57.89
2019-08-07,57.91,2386798,59.11,59.3,57.2
2019-08-08,72.47,7740425,71.19,73.5,67.67
2019-08-09,78.1,3737311,71.87,79.25,71.76
2019-08-12,78.35,2393462,77.26,79.95,76.49
2019-08-13,80.43,2776631,77.64,81.28,77.64
2019-08-14,78.89,2110959,78.01,81.37,77.81
2019-08-15,78.92,1321189,79.0,79.5336,77.56
2019-08-16,79.45,1696805,79.62,80.69,78.94
2019-08-19,77.15,1774419,80.5,80.66,74.76
2019-08-20,76.62,1280570,76.71,77.24,75.03
2019-08-21,83.09,2861592,77.43,83.77,77.26
2019-08-22,79.92,1500155,83.13,83.38,79.6
2019-08-23,78.6,1664949,79.7,81.84,78.16
2019-08-26,80.94,1194458,79.95,81.2,77.35
2019-08-27,80.15,954497,82.07,84.598,79.74
2019-08-28,81.96,1033700,80.25,82.75,78.635
2019-08-29,82.46,1107280,82.99,83.54,81.41
2019-08-30,81.16,923261,83.11,83.11,79.37
2019-09-03,79.62,1269096,79.96,82.8,78.5
2019-09-04,81.78,1195106,80.79,83.44,80.4
2019-09-05,84.61,1405190,82.51,85.03,82.51
2019-09-06,83.61,1410634,84.61,84.92,83.39
2019-09-09,83.0,1427946,84.15,85.07,81.3
2019-09-10,77.51,2682786,82.36,82.44,76.13
2019-09-11,77.97,1209954,77.6,79.04,76.19
2019-09-12,80.41,929473,79.54,81.51,78.45
2019-09-13,80.28,719301,79.92,81.38,78.65
2019-09-16,81.53,823190,79.56,81.86,77.94
2019-09-17,80.86,840705,81.38,82.15,79.64
2019-09-18,77.41,2802592,81.25,81.55,72.76
