Date,Close/Last,Volume,Open,High,Low
2019-06-25,50.24,170809,49.97,50.64,49.73
2019-06-26,50.13,134936,50.43,50.43,49.84
2019-06-27,50.63,223288,50.21,50.7614,50.19
2019-06-28,50.99,430571,50.83,51.91,50.83
2019-07-01,51.19,178970,51.72,51.92,50.73
2019-07-02,51.09,140345,51.06,51.1,50.37
2019-07-03,51.74,76447,51.31,51.75,50.76
2019-07-05,51.78,137144,51.45,51.895,51.06
2019-07-08,52.23,179524,51.63,52.39,51.28
2019-07-09,52.22,146290,51.89,52.29,51.75
2019-07-10,52.3,189563,52.52,52.92,52.205
2019-07-11,52.16,147445,52.28,52.47,51.63
2019-07-12,52.91,177985,52.16,53.11,52.16
2019-07-15,52.88,144068,52.9,53.31,52.29
2019-07-16,52.9,193369,53.0,53.42,52.42
2019-07-17,52.82,222426,52.91,53.275,52.62
2019-07-18,52.88,223457,52.84,53.22,52.585
2019-07-19,52.2,236587,52.83,53.17,52.105
2019-07-22,51.63,160648,52.23,52.59,51.59
2019-07-23,52.2,146416,51.64,52.56,51.42
2019-07-24,53.15,287412,52.03,53.21,52.03
2019-07-25,52.37,343725,53.09,53.66,52.12
2019-07-26,41.64,1429612,48.24,50.44,41.63
2019-07-29,40.47,988337,43.27,43.3,40.14
2019-07-30,42.77,578833,40.7,42.85,40.62
2019-07-31,42.0,504457,42.78,42.975,41.7
2019-08-01,40.94,346991,41.96,42.11,40.35
2019-08-02,41.32,458084,40.63,41.655,40.21
2019-08-05,39.65,586926,40.48,40.76,39.03
2019-08-06,39.67,380368,39.77,40.1,39.26
2019-08-07,39.12,392363,39.2,39.8,38.79
2019-08-08,40.81,454554,39.24,40.96,39.085
2019-08-09,40.3,335426,40.63,40.84,39.73
2019-08-12,38.93,362143,39.8,39.95,38.54
2019-08-13,39.04,241506,38.63,39.924,38.58
2019-08-14,37.74,577714,38.47,38.64,37.225
2019-08-15,37.97,334159,37.82,38.2,37.38
2019-08-16,38.45,269282,38.34,39.0,38.07
2019-08-19,38.41,280416,39.02,39.15,38.3036
2019-08-20,37.8,365148,38.29,38.32,37.59
2019-08-21,38.14,378908,38.23,38.52,38.01
2019-08-22,38.39,554335,38.31,38.54,37.77
2019-08-23,36.79,305165,38.11,38.32,36.73
2019-08-26,37.05,391189,37.21,37.31,36.58
2019-08-27,36.57,303517,37.36,37.61,36.51
2019-08-28,37.0,411798,36.43,37.24,36.27
2019-08-29,38.05,561027,37.44,38.25,37.44
2019-08-30,38.66,321103,38.3,39.23,38.24
2019-09-03,37.59,392760,38.47,38.605,37.55
2019-09-04,37.39,288042,38.0,38.14,36.99
2019-09-05,38.39,409589,37.9,38.65,37.61
2019-09-06,37.98,214591,38.4,38.68,37.93
2019-09-09,39.36,521740,38.17,39.64,37.8
