Date,Close/Last,Volume,Open,High,Low
2019-06-25,13.89,772829,13.11,14.02,13.02
2019-06-26,13.81,844401,13.85,14.1,13.65
2019-06-27,14.21,824251,13.89,14.39,13.725
2019-06-28,14.1,1737793,14.25,14.44,13.95
2019-07-01,14.25,563042,14.27,14.63,13.81
2019-07-02,14.39,913182,14.24,14.8,14.16
2019-07-03,14.29,327869,14.46,14.47,14.15
2019-07-05,14.16,372371,14.21,14.29,13.92
2019-07-08,14.22,599394,14.15,14.27,13.74
2019-07-09,15.46,2660147,14.36,15.62,14.25
2019-07-10,16.95,1909541,15.8,16.98,15.698
2019-07-11,16.4,1061867,16.95,16.96,16.09
2019-07-12,16.44,639263,16.56,16.75,16.37
2019-07-15,16.62,511559,16.61,16.93,16.45
2019-07-16,16.8,333992,16.67,16.88,16.63
2019-07-17,16.9,635104,16.79,17.2711,16.79
2019-07-18,16.84,574541,16.84,16.89,16.52
2019-07-19,16.67,386781,16.83,17.01,16.62
2019-07-22,16.42,404791,16.7,16.73,16.41
2019-07-23,16.14,680005,16.52,16.61,16.135
2019-07-24,16.73,553853,16.1,16.75,16.0972
2019-07-25,16.83,529613,16.68,17.0206,16.67
2019-07-26,16.9,501178,17.0,17.04,16.69
2019-07-29,17.09,523730,16.98,17.3,16.87
2019-07-30,17.25,344111,17.13,17.35,16.9
2019-07-31,16.59,417836,17.18,17.29,16.47
2019-08-01,16.0,626676,16.73,16.89,15.95
2019-08-02,16.02,658389,15.95,16.12,15.77
2019-08-05,15.84,641921,15.9,16.155,15.4
2019-08-06,16.67,534572,15.99,16.69,15.84
2019-08-07,16.55,508607,16.42,16.77,16.12
2019-08-08,17.31,2060122,17.4,18.61,17.19
2019-08-09,17.24,638327,17.41,17.666,16.87
2019-08-12,16.65,623211,16.98,17.16,16.5
2019-08-13,16.8,464215,16.63,17.24,16.51
2019-08-14,16.41,442124,16.71,16.71,16.33
2019-08-15,16.41,306132,16.47,16.665,16.26
2019-08-16,16.43,599336,16.54,16.64,16.17
2019-08-19,17.85,1159034,16.62,18.02,16.5
2019-08-20,17.71,954412,17.81,17.81,16.74
2019-08-21,17.98,563756,17.72,18.18,17.6904
2019-08-22,18.24,880697,18.2,19.08,18.125
2019-08-23,17.48,383915,18.1,18.3399,17.39
2019-08-26,17.8,722369,17.64,18.08,17.4385
2019-08-27,17.46,351753,17.84,17.98,17.32
2019-08-28,17.57,949732,17.41,17.9,17.38
2019-08-29,16.75,2244915,17.64,17.8,16.33
2019-08-30,16.32,1556812,16.73,16.73,15.97
2019-09-03,16.66,995125,16.3,16.795,16.19
2019-09-04,17.06,779828,16.7,17.2847,16.7
2019-09-05,17.31,440860,17.21,17.51,16.92
2019-09-06,17.52,594869,17.29,18.01,17.2648
2019-09-09,16.82,559491,17.42,17.48,16.68
2019-09-10,15.98,671857,16.6,16.7,15.81
2019-09-11,15.93,511551,15.97,16.07,15.82
2019-09-12,16.02,284927,15.94,16.3,15.91
2019-09-13,15.74,284189,15.99,16.19,15.69
2019-09-16,15.72,475671,15.54,15.88,15.52
2019-09-17,16.18,687706,15.52,16.27,15.52
2019-09-18,16.47,1430595,16.3,16.64,15.94
2019-09-19,17.05,784939,16.5,17.075,16.5
2019-09-20,17.65,1232332,17.34,17.95,17.225
2019-09-23,18.4,1151988,17.36,18.62,17.22
2019-09-24,18.18,659696,18.48,18.72,18.04
2019-09-25,18.27,1112786,18.11,18.49,17.61
2019-09-26,17.97,587396,18.27,18.605,17.95
2019-09-27,17.51,454953,18.04,18.04,17.38
2019-09-30,17.51,840382,17.55,17.75,17.42
2019-10-01,17.46,900199,17.45,17.955,17.26
2019-10-02,16.88,394257,17.39,17.57,16.65
2019-10-03,17.5,460469,16.84,17.52,16.84
2019-10-04,18.05,397058,17.5,18.15,17.41
2019-10-07,18.13,326410,18.15,18.2811,17.92
2019-10-08,17.59,359848,17.95,17.95,17.38
2019-10-09,17.53,282074,17.8,17.8129,17.44
2019-10-10,17.06,496475,17.56,17.6657,16.85
2019-10-11,17.14,291679,17.12,17.48,16.98
2019-10-14,17.59,249972,17.37,17.88,17.305
2019-10-15,17.52,236341,17.67,17.87,17.25
2019-10-16,17.7,386854,17.49,17.78,17.32
