Date,Close/Last,Volume,Open,High,Low
2019-06-25,47.53,335199,48.66,49.075,47.42
2019-06-26,48.71,576316,48.16,49.49,47.93
2019-06-27,49.91,213334,49.26,49.94,48.61
2019-06-28,49.67,1548922,49.95,50.55,49.31
2019-07-01,51.95,524524,51.8,52.86,51.35
2019-07-02,50.76,260828,51.74,52.0135,50.16
2019-07-03,51.19,80154,50.93,51.21,50.44
2019-07-05,51.1,123299,50.59,51.2,49.87
2019-07-08,50.22,174063,50.67,51.31,50.08
2019-07-09,50.81,262954,50.43,50.84,49.82
2019-07-10,51.29,234849,51.1,51.59,51.04
2019-07-11,51.16,219399,51.42,51.5,50.8
2019-07-12,52.06,176992,51.55,52.41,51.51
2019-07-15,52.04,149781,52.25,52.28,51.59
2019-07-16,52.22,216765,52.0,52.43,51.57
2019-07-17,52.49,269219,52.24,53.435,51.845
2019-07-18,52.28,152685,52.36,52.52,51.625
2019-07-19,52.37,280326,52.32,52.83,52.17
2019-07-22,52.59,218713,52.53,53.59,52.4
2019-07-23,53.96,272011,53.08,54.04,52.635
2019-07-24,54.86,282584,53.57,55.11,53.5
2019-07-25,54.29,136022,54.72,54.98,53.98
2019-07-26,54.57,197203,54.46,54.99,54.01
2019-07-29,54.94,152932,54.47,54.97,53.89
2019-07-30,54.3,330479,54.35,55.025,54.04
2019-07-31,53.68,460789,54.35,54.73,53.25
2019-08-01,52.74,346594,53.94,55.11,52.18
2019-08-02,50.99,319531,52.15,52.37,50.41
2019-08-05,49.52,513997,49.63,50.07,48.91
2019-08-06,50.56,391568,49.96,50.9555,49.64
2019-08-07,50.77,188402,49.67,51.27,49.55
2019-08-08,53.77,250760,51.74,53.93,51.74
2019-08-09,53.88,358858,54.05,54.08,52.57
2019-08-12,53.51,229747,53.38,54.12,53.02
2019-08-13,55.06,217318,53.41,55.4,53.18
2019-08-14,52.66,226799,53.59,53.94,52.03
2019-08-15,52.85,223552,52.82,52.98,51.505
2019-08-16,55.57,312601,53.2,55.85,52.86
2019-08-19,56.46,547923,56.09,57.01,55.89
2019-08-20,46.46,3167922,47.37,50.5,45.5
2019-08-21,48.0,895720,47.46,48.25,46.51
2019-08-22,48.39,547323,48.31,48.63,47.645
2019-08-23,47.59,649842,48.1,49.225,47.29
2019-08-26,48.81,658203,48.56,49.26,47.74
2019-08-27,48.41,488249,49.06,49.45,47.94
2019-08-28,48.52,380224,48.2,49.08,47.745
2019-08-29,50.71,297537,49.51,50.79,49.495
2019-08-30,50.49,331609,51.11,51.11,49.7407
2019-09-03,50.18,318676,49.97,50.37,49.02
2019-09-04,51.32,289221,50.7,51.65,50.7
2019-09-05,53.78,520505,51.34,54.0,51.34
2019-09-06,53.83,445798,53.8,54.08,53.025
2019-09-09,54.58,431372,53.57,54.75,52.66
2019-09-10,55.03,300117,54.42,55.04,53.531
2019-09-11,55.38,298592,55.0,55.72,54.251
2019-09-12,55.51,407493,55.0,55.82,54.82
2019-09-13,55.98,368543,55.76,56.43,54.81
2019-09-16,55.22,270847,55.51,56.6082,55.21
2019-09-17,55.76,200671,54.77,56.28,54.28
2019-09-18,54.48,522189,55.76,56.3,53.81
2019-09-19,53.11,401539,54.25,54.605,53.11
2019-09-20,52.88,579947,53.0,53.71,52.56
2019-09-23,52.52,189006,52.77,52.94,51.905
2019-09-24,52.18,291445,52.89,53.37,51.98
2019-09-25,53.5,179229,52.21,53.66,52.185
2019-09-26,53.15,240045,53.41,53.68,52.76
2019-09-27,51.62,360785,52.91,53.69,51.05
2019-09-30,52.3,291656,52.98,53.18,51.95
2019-10-01,51.66,465599,52.76,53.235,51.01
2019-10-02,50.65,262403,51.0,51.67,50.47
2019-10-03,50.54,229411,50.69,51.11,50.05
2019-10-04,51.03,241907,50.89,51.48,50.47
2019-10-07,50.74,193278,50.69,51.465,50.58
2019-10-08,48.78,220503,49.98,50.2197,48.65
2019-10-09,48.4,242897,49.17,49.36,48.39
2019-10-10,48.69,199781,48.54,49.3,48.47
2019-10-11,50.0,413160,49.68,50.98,49.68
2019-10-14,50.4,164786,49.75,50.73,49.75
2019-10-15,51.48,168222,50.53,51.78,50.53
2019-10-16,51.26,142000,51.43,52.29,51.2
2019-10-17,52.21,181029,51.5,52.47,51.46
2019-10-18,52.78,245664,52.07,52.985,52.05
2019-10-21,53.97,230144,53.4,55.06,53.4
2019-10-22,54.46,216736,53.98,55.0,53.62
2019-10-23,53.08,200136,54.3,54.4,52.955
2019-10-24,53.37,285201,53.78,53.78,52.045
2019-10-25,53.8,133470,53.54,54.45,53.1101
2019-10-28,54.39,373244,54.17,56.09,53.96
2019-10-29,53.27,384118,54.07,54.14,52.05
2019-10-30,54.32,172274,53.73,54.68,53.035
2019-10-31,56.23,388680,54.67,56.28,54.26
2019-11-01,58.45,278639,56.5,58.47,56.12
2019-11-04,60.6,537207,58.93,61.0,58.45
2019-11-05,57.56,1165862,60.91,60.91,55.53
2019-11-06,57.21,282345,57.67,58.08,56.955
2019-11-07,57.24,189192,57.0,57.4852,56.84
2019-11-08,58.79,239281,56.84,58.89,56.84
2019-11-11,58.77,163823,58.5,58.92,58.13
2019-11-12,59.25,271960,58.92,59.625,58.66
2019-11-13,59.75,252607,58.74,59.82,58.6001
2019-11-14,59.89,218090,59.73,60.63,59.38
2019-11-15,60.86,258719,60.35,61.34,60.12
2019-11-18,61.04,360627,60.43,61.22,59.955
2019-11-19,61.43,295617,61.0,61.7,60.13
2019-11-20,60.81,334218,60.95,61.75,60.05
2019-11-21,59.99,215149,61.03,61.03,59.77
2019-11-22,59.6,240330,60.48,60.48,59.38
2019-11-25,60.56,197567,59.9,60.905,59.87
2019-11-26,60.5,142105,60.6,60.86,59.93
2019-11-27,61.19,96066,60.78,61.28,60.44
2019-11-29,60.49,56191,60.85,61.31,60.37
2019-12-02,59.12,197619,60.57,60.8,59.03
2019-12-03,58.69,213918,58.22,58.81,57.27
2019-12-04,59.5,178970,59.37,60.22,59.26
2019-12-05,59.74,238826,60.08,60.52,59.65
2019-12-06,60.38,195799,60.75,61.27,60.32
2019-12-09,59.5,163969,60.12,60.39,59.49
2019-12-10,58.6,253322,59.25,59.35,58.39
2019-12-11,60.73,448323,58.93,60.91,58.77
2019-12-12,63.01,252892,60.8,63.22,60.73
2019-12-13,62.62,235241,62.84,63.43,62.05
2019-12-16,63.77,384405,62.85,64.24,62.82
2019-12-17,64.64,288984,64.01,64.865,63.635
2019-12-18,64.35,350839,64.46,64.95,63.37
2019-12-19,64.98,234534,64.34,65.56,64.17
2019-12-20,64.43,681166,65.12,65.89,64.245
2019-12-23,64.41,116603,64.49,65.03,64.02
2019-12-24,64.79,69201,64.56,64.84,64.02
2019-12-26,65.4,58277,64.98,65.68,64.945
2019-12-27,64.57,134967,65.55,65.56,64.53
2019-12-30,64.95,134152,64.53,65.29,63.3
2019-12-31,64.84,175889,64.68,65.76,64.68
2020-01-02,66.16,209692,65.94,66.21,64.32
2020-01-03,65.95,212080,64.97,66.28,64.97
2020-01-06,64.78,266259,64.95,65.25,64.17
2020-01-07,65.7,135613,64.54,66.11,64.42
2020-01-08,66.07,173695,65.62,66.72,65.44
2020-01-09,65.78,207484,67.0,67.0,65.31
2020-01-10,64.84,162916,65.65,65.73,64.6
2020-01-13,66.22,182912,64.84,66.24,64.84
2020-01-14,66.03,236740,65.99,67.17,65.37
2020-01-15,66.35,168733,65.52,66.48,65.52
2020-01-16,64.51,402875,66.89,67.01,64.07
2020-01-17,66.66,265321,65.15,66.82,64.78
2020-01-21,66.15,152263,66.32,66.4732,65.73
2020-01-22,67.68,410096,66.69,68.29,66.06
2020-01-23,67.95,237247,67.24,68.34,66.7352
2020-01-24,67.07,169900,68.25,68.25,66.94
2020-01-27,65.55,162831,65.24,66.035,64.72
2020-01-28,67.52,210452,65.93,67.69,65.485
2020-01-29,66.81,276807,67.89,68.01,66.7
2020-01-30,66.52,173388,66.08,67.0,65.46
2020-01-31,63.04,336595,66.25,66.405,63.04
2020-02-03,63.71,404254,63.31,64.32,63.07
2020-02-04,67.71,639701,65.19,71.22,65.19
2020-02-05,67.14,317978,68.96,69.35,66.65
2020-02-06,65.72,176430,67.58,67.58,65.42
2020-02-07,64.48,192434,65.55,65.55,63.66
2020-02-10,65.72,202875,63.99,65.82,63.41
2020-02-11,67.0,264610,66.25,68.1135,65.59
2020-02-12,68.04,212359,67.58,68.3,66.95
2020-02-13,67.7,399535,67.33,68.2725,66.73
2020-02-14,64.99,170083,67.6,67.76,64.86
2020-02-18,62.95,281007,64.51,64.57,62.91
2020-02-19,63.41,125571,63.51,63.91,63.13
2020-02-20,63.24,176821,63.16,63.5637,62.36
2020-02-21,61.29,221800,63.03,63.03,61.04
2020-02-24,58.05,376704,59.29,59.3,57.24
2020-02-25,56.3,272502,58.72,58.88,56.3
2020-02-26,57.22,190606,56.58,58.13,56.58
2020-02-27,54.87,288979,55.69,57.33,54.58
2020-02-28,55.12,503591,52.2,55.84,52.0
2020-03-02,57.5,337008,55.73,57.52,54.57
2020-03-03,56.31,318493,57.48,60.51,56.15
2020-03-04,59.41,307109,57.3,59.43,56.74
2020-03-05,60.51,621790,58.05,60.59,57.5912
2020-03-06,59.32,495857,58.04,59.57,57.87
2020-03-09,53.76,323147,55.15,57.34,53.34
2020-03-10,55.48,556287,55.33,56.36,52.905
2020-03-11,51.08,284184,53.7,54.055,50.375
2020-03-12,48.18,384485,47.55,51.74,45.56
2020-03-13,52.85,477101,50.89,52.85,47.44
2020-03-16,49.96,489242,44.0,51.68,44.0
2020-03-17,50.42,814876,50.91,52.14,47.85
2020-03-18,47.55,680085,47.88,49.96,45.8
2020-03-19,49.38,383137,47.15,50.45,45.25
2020-03-20,47.78,544241,49.82,52.0,47.54
2020-03-23,49.63,355225,47.91,51.57,46.4
2020-03-24,54.5,400046,51.9,54.5,50.33
2020-03-25,52.42,462611,53.94,55.21,51.47
2020-03-26,53.23,276484,52.9,53.78,51.94
2020-03-27,48.34,294337,51.65,51.98,47.785
2020-03-30,52.72,423053,48.83,52.97,48.135
2020-03-31,54.56,345208,52.52,54.56,51.95
2020-04-01,53.92,362249,52.51,54.8,51.87
2020-04-02,53.9,214644,53.17,55.93,52.83
2020-04-03,52.65,215457,53.27,54.08,51.3
2020-04-06,57.65,202437,54.97,57.84,54.57
2020-04-07,59.09,361888,59.01,59.78,57.56
2020-04-08,58.88,265004,59.82,59.98,57.32
2020-04-09,60.3,211052,60.03,61.35,59.35
2020-04-13,58.47,284513,59.29,59.94,58.1825
2020-04-14,62.73,193168,60.07,62.84,60.0
2020-04-15,61.28,233435,60.83,62.4,59.43
2020-04-16,62.64,264581,61.28,62.825,60.6
2020-04-17,61.51,190912,63.61,63.98,60.98
2020-04-20,61.2,222152,60.48,62.98,60.31
2020-04-21,61.28,191088,60.11,61.54,59.65
2020-04-22,62.54,218160,62.67,63.22,61.59
2020-04-23,64.06,148202,62.4,64.77,62.4
2020-04-24,64.54,191054,63.61,64.94,63.46
2020-04-27,65.77,309186,65.5,66.37,64.82
2020-04-28,64.49,291850,67.31,67.31,63.98
2020-04-29,64.91,384727,66.35,66.35,64.2
2020-04-30,62.75,425017,64.3,64.73,62.385
2020-05-01,59.64,389041,60.82,62.36,59.13
2020-05-04,58.74,320211,59.45,60.4,58.15
2020-05-05,58.02,474257,64.61,64.61,57.9
2020-05-06,58.15,366992,58.12,59.9097,57.895
2020-05-07,58.87,332483,60.34,60.34,57.75
2020-05-08,61.35,192888,59.95,61.46,59.15
2020-05-11,61.55,212792,60.61,62.62,59.95
2020-05-12,59.41,234746,62.0,62.23,59.2
