Date,Close/Last,Volume,Open,High,Low
2019-06-25,18.25,1988809,18.13,18.78,17.91
2019-06-26,18.34,1051399,18.24,18.75,18.02
2019-06-27,18.71,2053872,18.38,18.945,18.27
2019-06-28,19.82,2729475,18.74,19.99,18.66
2019-07-01,19.74,1666701,20.19,20.9,19.66
2019-07-02,19.85,1292582,19.76,19.86,19.28
2019-07-03,19.55,413601,19.88,19.96,19.48
2019-07-05,19.99,1510782,19.47,20.39,19.395
2019-07-08,19.52,1197074,19.87,20.18,19.44
2019-07-09,19.75,945931,19.36,19.84,19.3201
2019-07-10,20.24,777324,19.98,20.58,19.71
2019-07-11,19.77,771547,20.24,20.55,19.54
2019-07-12,19.87,562440,19.48,19.96,19.3
2019-07-15,19.52,720138,19.94,20.27,19.4
2019-07-16,19.97,522451,19.56,20.31,19.38
2019-07-17,19.27,874860,19.9,19.9,19.145
2019-07-18,18.47,1489293,19.16,19.315,18.34
2019-07-19,17.92,1539251,18.36,18.71,17.59
2019-07-22,17.85,1548588,17.91,18.19,17.37
2019-07-23,18.06,987733,18.05,18.26,17.635
2019-07-24,18.84,982703,18.05,19.03,18.05
2019-07-25,19.28,2674973,18.84,20.08,18.245
2019-07-26,20.19,982601,19.43,20.27,19.43
2019-07-29,20.01,1107932,20.12,20.37,19.44
2019-07-30,20.67,967265,19.71,20.75,19.5
2019-07-31,20.45,899168,20.5,20.98,20.04
2019-08-01,20.77,1645919,20.71,21.47,20.25
2019-08-02,20.55,3909480,18.01,20.82,17.89
2019-08-05,21.13,1838219,20.14,21.45,18.8
2019-08-06,20.1,1776425,21.21,21.4999,19.635
2019-08-07,19.07,1564356,19.75,20.18,18.99
2019-08-08,19.21,1195641,19.24,19.66,18.72
2019-08-09,18.93,844218,18.97,19.47,18.31
2019-08-12,18.55,901644,18.66,18.82,18.3
2019-08-13,18.25,924526,18.5,18.94,18.13
2019-08-14,16.6,1529749,17.7,17.95,16.57
2019-08-15,16.17,1211714,16.73,16.9,16.02
2019-08-16,16.71,1169743,16.35,17.05,16.29
2019-08-19,17.12,930828,17.01,17.25,16.55
2019-08-20,17.05,697214,17.07,17.355,16.84
2019-08-21,17.36,615237,17.24,17.39,17.02
2019-08-22,17.6,760310,17.41,17.782,17.1
2019-08-23,16.98,1052832,17.46,17.6775,16.84
2019-08-26,17.04,484174,17.24,17.285,16.74
2019-08-27,16.8,685883,17.11,17.64,16.64
2019-08-28,17.42,531115,16.72,17.58,16.5
2019-08-29,18.02,748115,17.61,18.35,17.61
2019-08-30,18.48,723495,18.12,18.65,18.02
2019-09-03,17.57,914611,18.29,18.55,17.31
2019-09-04,18.15,855019,17.94,18.22,17.72
2019-09-05,19.36,1560674,18.6,19.4,18.15
2019-09-06,19.39,1017238,19.43,19.7,19.03
2019-09-09,20.11,937901,19.66,20.22,19.42
2019-09-10,21.79,1825313,20.17,21.79,20.045
2019-09-11,22.78,1619801,21.83,22.8,21.442
2019-09-12,23.33,1484030,22.63,23.42,22.06
2019-09-13,23.93,1498990,23.34,24.145,23.1744
2019-09-16,23.93,957587,23.69,24.18,23.575
2019-09-17,23.64,880007,23.98,24.0,23.35
2019-09-18,22.58,1459801,23.63,23.97,21.68
2019-09-19,23.1,1353786,22.89,23.71,22.46
2019-09-20,22.97,1421586,23.04,23.48,22.45
2019-09-23,23.14,697263,22.71,23.49,22.71
2019-09-24,22.97,709805,23.4,23.45,22.46
2019-09-25,22.41,877543,22.79,23.0,22.25
2019-09-26,21.195,995499,22.25,22.25,20.58
