Date,Open,High,Low,Close,Close/Last,Volume
2014-06-23,41.73,42,41.689999,41.990002,35.743694,18743905
2014-06-24,41.830002,41.939999,41.560001,41.744999,35.535137,26518274
2014-06-25,41.68,42.049999,41.459999,42.029999,35.777729,20051576
2014-06-26,41.919998,41.939999,41.43,41.720001,35.513851,23604409
2014-06-27,41.619999,42.290001,41.509998,42.25,35.965012,74641945
2014-06-30,42.200001,42.209999,41.700001,41.700001,35.49683,30805472
2014-07-01,41.869999,42.150002,41.689999,41.869999,35.641552,26922597
2014-07-02,41.73,41.900002,41.529999,41.900002,35.667084,20208526
2014-07-03,41.950001,41.990002,41.560001,41.799999,35.581951,15969310
2014-07-07,41.709999,42.119999,41.709999,41.990002,35.743694,21953619
2014-07-08,41.84,42,41.610001,41.779999,35.56493,31218208
2014-07-09,41.91,41.990002,41.529999,41.669998,35.471283,18445910
2014-07-10,41.459999,42,41.049999,41.685001,35.484066,21856832
2014-07-11,41.799999,42.09,41.48,42.09,35.828808,24087374
2014-07-14,42.220001,42.450001,42.040001,42.139999,35.871376,21882943
2014-07-15,42.290001,42.470001,42.029999,42.450001,36.135265,28758961
2014-07-16,42.5,44.310001,42.48,44.080002,37.522778,63322372
2014-07-17,45.439999,45.709999,44.25,44.529999,37.905846,82180263
2014-07-18,44.650002,44.84,44.25,44.689999,38.042049,43407490
2014-07-21,44.549999,45.16,44.220001,44.834999,38.165462,37604378
2014-07-22,45,45.150002,44.59,44.830002,38.161224,43095820
2014-07-23,45.43,45.450001,44.619999,44.869999,38.195267,52363948
2014-07-24,44.889999,45,44.32,44.400002,37.795181,30725348
2014-07-25,44.299999,44.66,44.299999,44.5,37.880306,26737724
2014-07-28,44.360001,44.509998,43.93,43.970001,37.429142,29687677
2014-07-29,43.830002,44.09,43.639999,43.884998,37.356792,27764099
2014-07-30,44.07,44.099998,43.290001,43.578499,37.095879,31925735
2014-07-31,43.380001,43.689999,43.080002,43.16,36.739655,31540882
2014-08-01,43.150002,43.25,42.599998,42.860001,36.484261,31171094
2014-08-04,42.970001,43.470001,42.810001,43.369999,36.918396,34277387
2014-08-05,43.279999,43.459999,42.830002,43.080002,36.671535,26267500
2014-08-06,42.709999,43.169998,42.209999,42.740002,36.38213,24633966
2014-08-07,42.77,43.450001,42.650002,43.23,36.799229,30315183
2014-08-08,43.23,43.314999,42.91,43.200001,36.773697,28943024
2014-08-11,43.27,43.450001,43.02,43.200001,36.773697,20351600
2014-08-12,43.040001,43.59,43,43.52,37.046093,21433589
2014-08-13,43.669998,44.18,43.52,44.080002,37.522778,22889484
2014-08-14,44.119999,44.417,44.009998,44.27,37.684532,19313194
2014-08-15,44.639999,44.895,44.400002,44.790001,38.127163,41611308
2014-08-18,44.91,45.110001,44.68,45.110001,38.399567,26895359
2014-08-19,44.990002,45.34,44.830002,45.330002,38.827847,28139494
2014-08-20,45.380001,45.400002,44.900002,44.950001,38.502357,24770487
2014-08-21,44.880001,45.25,44.830002,45.220001,38.733627,22285502
2014-08-22,45.360001,45.470001,45.07,45.150002,38.673668,18294741
2014-08-25,45.380001,45.439999,45.040001,45.169998,38.690796,16909999
2014-08-26,45.310001,45.395,44.939999,45.005001,38.549473,14877669
2014-08-27,44.93,45,44.759998,44.869999,38.433823,21287931
2014-08-28,44.759998,44.98,44.610001,44.880001,38.442394,17657643
2014-08-29,45.07,45.439999,44.855,45.43,38.91349,21608625
2014-09-02,45.43,45.459999,44.849998,45.09,38.622272,22976775
2014-09-03,44.549999,45.110001,44.529999,44.959999,38.510921,33689341
2014-09-04,44.720001,45.27,44.720001,45.259998,38.767879,26478082
2014-09-05,45.110001,45.93,45.110001,45.91,39.324646,36939360
2014-09-08,46.009998,46.799999,45.990002,46.470001,39.804325,45736730
2014-09-09,46.470001,46.970001,46.419998,46.759998,40.052723,40302386
2014-09-10,46.860001,46.939999,46.279999,46.84,40.121258,27304409
2014-09-11,46.740002,47,46.470001,47,40.258301,29216560
2014-09-12,46.91,47.02,46.599998,46.695,39.99704,38247122
2014-09-15,46.557999,46.709999,46.099998,46.240002,39.607319,37667644
2014-09-16,46.389999,46.849998,46.290001,46.759998,40.052723,27910571
2014-09-17,46.259998,46.689999,46.23,46.52,39.847149,38311924
2014-09-18,46.59,46.830002,46.459999,46.68,39.984215,35556632
2014-09-19,46.82,47.57,46.599998,47.52,40.703716,202526536
2014-09-22,47.299999,47.380001,46.98,47.060001,40.309692,38686091
2014-09-23,46.849998,46.98,46.470001,46.560001,39.881405,33431078
2014-09-24,46.630001,47.110001,46.34,47.080002,40.32682,26582713
2014-09-25,46.880001,47.09,46.029999,46.040001,39.435993,33077384
2014-09-26,45.93,46.619999,45.759998,46.41,39.752937,27078764
2014-09-29,45.98,46.560001,45.759998,46.439999,39.778618,26090980
2014-09-30,46.369999,46.476299,46.009998,46.360001,39.710102,33033086
2014-10-01,46.27,46.529999,45.845001,45.900002,39.316078,38088355
2014-10-02,45.830002,46.099998,45.639999,45.759998,39.196159,25119508
2014-10-03,45.98,46.299999,45.610001,46.09,39.478836,32453273
2014-10-06,46.119999,46.299999,45.919899,46.09,39.478836,20603960
2014-10-07,45.880001,45.93,45.419998,45.529999,38.999157,25724544
2014-10-08,45.48,46.889999,45.34,46.779999,40.069859,33030972
