Date,Close/Last,Volume,Open,High,Low
2019-06-25,140.16,114721,141.55,141.55,139.1
2019-06-26,139.12,83074,140.02,140.3,138.72
2019-06-27,141.03,81309,139.29,142.1,139.29
2019-06-28,143.31,457484,141.5,143.93,140.03
2019-07-01,140.03,169495,143.0,144.31,139.8
2019-07-02,140.5,71825,140.77,141.32,139.39
2019-07-03,141.16,42482,140.55,142.21,139.95
2019-07-05,140.24,64316,140.29,140.91,137.56
2019-07-08,125.93,359455,139.2,139.2,125.34
2019-07-09,123.99,227903,125.94,126.97,123.645
2019-07-10,122.96,131769,124.37,125.565,122.76
2019-07-11,122.79,129986,123.01,123.9324,122.29
2019-07-12,123.02,123775,122.79,123.42,120.5
2019-07-15,123.62,99846,122.97,124.72,122.81
2019-07-16,124.5,105053,123.41,124.73,123.08
2019-07-17,122.51,112048,124.24,125.0,122.09
2019-07-18,122.66,109788,122.21,123.0,120.86
2019-07-19,121.75,82346,122.97,123.4095,121.75
2019-07-22,122.25,75375,121.83,122.9,121.48
2019-07-23,121.58,63948,122.81,122.81,121.1
2019-07-24,122.73,66028,120.99,122.73,120.53
2019-07-25,122.19,49611,122.43,122.59,121.115
2019-07-26,123.32,83432,122.59,123.84,122.45
2019-07-29,122.18,127703,123.13,124.04,121.13
2019-07-30,123.19,112270,121.41,123.933,121.16
2019-07-31,136.73,377993,127.0,140.72,127.0
2019-08-01,135.48,126304,137.0,139.08,134.5
2019-08-02,134.3,152580,134.95,137.43,133.15
2019-08-05,132.52,116815,132.46,134.795,130.61
2019-08-06,134.1,130004,134.15,135.89,132.59
2019-08-07,138.35,120276,132.45,139.24,131.14
2019-08-08,140.27,126553,138.87,141.4,138.71
2019-08-09,140.7,82373,139.47,143.56,138.96
2019-08-12,140.74,142714,139.59,140.94,138.02
2019-08-13,138.73,143984,140.42,142.0,138.21
2019-08-14,137.95,130219,137.11,139.34,135.5301
2019-08-15,136.39,81736,137.99,138.25,135.9
2019-08-16,137.33,264810,137.29,138.06,135.87
2019-08-19,139.75,100562,138.82,140.7,136.71
2019-08-20,140.51,69506,139.77,141.75,137.125
2019-08-21,140.89,146094,141.66,142.9,140.84
2019-08-22,141.22,50361,140.7,142.56,140.33
2019-08-23,138.11,46260,140.59,142.28,137.61
2019-08-26,139.62,76762,139.17,140.08,137.8
2019-08-27,138.72,109796,140.45,141.205,138.0
2019-08-28,139.46,106259,138.5,139.98,136.87
2019-08-29,141.39,83321,140.69,142.11,139.45
2019-08-30,143.29,146611,142.52,143.81,141.495
2019-09-03,143.6,123601,142.48,144.36,141.86
2019-09-04,137.17,295306,144.83,144.83,135.92
2019-09-05,141.41,125541,137.85,142.1,137.37
2019-09-06,139.89,70213,142.1,142.75,139.84
2019-09-09,143.69,117237,139.78,143.92,137.93
2019-09-10,144.96,117876,141.85,144.96,140.69
2019-09-11,147.54,115714,144.95,147.66,143.1426
2019-09-12,148.4,127324,147.59,150.0,147.26
2019-09-13,145.78,121363,148.5,149.41,145.335
2019-09-16,147.45,129592,144.84,147.59,144.29
2019-09-17,149.01,100546,146.84,149.79,146.39
2019-09-18,148.13,99920,148.88,150.39,146.71
2019-09-19,150.45,114072,148.17,153.46,148.17
2019-09-20,149.05,263968,150.53,152.77,147.275
2019-09-23,150.59,62734,148.64,151.37,147.82
2019-09-24,148.88,109722,152.26,152.26,147.9184
2019-09-25,149.57,53219,148.81,150.0,144.8
2019-09-26,149.37,37934,149.46,151.58,147.72
2019-09-27,147.03,50505,149.1,149.1,145.74
2019-09-30,148.37,78031,147.16,149.115,146.43
2019-10-01,146.34,60552,148.39,149.9,146.15
2019-10-02,144.9,69855,145.86,145.86,143.09
2019-10-03,145.42,47434,145.08,146.525,142.58
2019-10-04,146.59,47966,145.75,148.01,145.215
