Date,Open,High,Low,Close,Close/Last,Volume,DPRIME,PE,VIX_Close,,
2014-06-24,25.52,25.98,25.303,,25.34,243530,3.25,,12.13,,
2014-06-25,25.24,25.49,24.57,,25.27,491864,3.25,,11.59,,
2014-06-26,26,26,25.21,,25.45,342669,3.25,,11.63,,
2014-06-27,25.24,25.405,24.69,,24.69,1482237,3.25,,11.26,,
2014-06-30,24.69,25.39,24.61,,25.27,648122,3.25,,11.57,,
2014-07-01,25.34,25.74,25.27,,25.44,500711,3.25,,11.15,,
2014-07-02,25.47,25.675,25.4101,,25.55,428821,3.25,,10.82,,
2014-07-03,25.61,26.02,25.5,,25.95,246299,3.25,,10.32,,
2014-07-07,25.89,26.02,25.41,,25.45,334565,3.25,,11.33,,
2014-07-08,25.37,25.4,23.79,,24.25,689479,3.25,,11.98,,
2014-07-09,24.32,25.19,24.11,,24.9,407860,3.25,,11.65,,
2014-07-10,24.44,24.93,23.61,,24.57,446854,3.25,,12.59,,
2014-07-11,24.49,25.27,24.25,,25.08,326618,3.25,,12.08,,
2014-07-14,25.27,25.33,24.71,,24.92,327484,3.25,,11.82,,
2014-07-15,24.93,24.93,24.15,,24.43,285077,3.25,,11.96,,
2014-07-16,24.66,24.9765,24.4127,,24.44,207068,3.25,,11,,
2014-07-17,24.3,24.65,24.09,,24.17,252146,3.25,,14.54,,
2014-07-18,24.13,25.46,24.13,,25.43,300099,3.25,,12.06,,
2014-07-21,25.27,26.35,25.07,,26.2,483345,3.25,,12.81,,
2014-07-22,26.38,27.28,26.21,,26.55,633409,3.25,,12.24,,
2014-07-23,26.55,26.55,25.59,,25.76,335829,3.25,,11.52,,
2014-07-24,25.27,26.26,25.27,,25.68,279673,3.25,,11.84,,
2014-07-25,25.42,25.5,24.74,,25.15,255773,3.25,,12.69,,
2014-07-28,25.1,25.27,24.64,,25.04,188182,3.25,,12.56,,
2014-07-29,25.2,26.55,25.2,,26.35,405297,3.25,,13.28,,
2014-07-30,26.53,26.764,26.12,,26.6,283143,3.25,,13.33,,
2014-07-31,26.22,26.59,25.75,,26.17,591691,3.25,,16.950001,,
2014-08-01,26.28,26.3,25.09,,25.59,356106,3.25,,17.030001,,
2014-08-04,25.85,26.92,25.72,,26.75,546020,3.25,,15.12,,
2014-08-05,26.69,26.978,26.2153,,26.89,540711,3.25,,16.870001,,
2014-08-06,25.89,26.0399,23.3501,,24.81,1554424,3.25,,16.370001,,
2014-08-07,24.84,25.6301,24.6301,,24.92,260562,3.25,,16.66,,
2014-08-08,24.62,24.9,24.0801,,24.33,406546,3.25,,15.77,,
2014-08-11,24.37,25.08,24.12,,24.79,318732,3.25,,14.23,,
2014-08-12,24.83,24.99,24.365,,24.63,204626,3.25,,14.13,,
2014-08-13,24.76,25.2,24.68,,25.14,314901,3.25,,12.9,,
2014-08-14,25.35,25.7,25.19,,25.41,353228,3.25,,12.42,,
2014-08-15,25.78,25.8699,25,,25.32,394283,3.25,,13.15,,
2014-08-18,25.73,26.05,25.26,,25.81,390192,3.25,,12.32,,
2014-08-19,25.92,26.05,25.64,,25.97,263495,3.25,,12.21,,
2014-08-20,25.7,25.99,25.15,,25.27,405409,3.25,,11.78,,
2014-08-21,25.15,25.28,24.59,,24.98,219635,3.25,,11.76,,
2014-08-22,24.7,25.03,24.14,,24.55,417346,3.25,,11.47,,
2014-08-25,24.82,25.23,24.5,,24.57,263107,3.25,,11.7,,
2014-08-26,24.58,24.98,24.54,,24.7,388975,3.25,,11.63,,
2014-08-27,24.7,25.28,24.7,,25.07,256918,3.25,,11.78,,
2014-08-28,24.93,25.03,24.55,,24.73,206037,3.25,,12.05,,
2014-08-29,24.75,24.9,24.3,,24.49,324088,3.25,,12.09,,
2014-09-02,24.9,27.05,24.9,,27,860789,3.25,,12.25,,
2014-09-03,27.23,27.64,25.46,,25.69,590683,3.25,,12.36,,
2014-09-04,25.85,26.176,25.28,,25.56,317537,3.25,,12.64,,
2014-09-05,25.56,25.86,25.17,,25.49,194141,3.25,,12.09,,
2014-09-08,25.51,26.8,25.51,,26.57,324047,3.25,,12.66,,
2014-09-09,26.56,26.8499,25.57,,25.61,289936,3.25,,13.5,,
2014-09-10,25.68,25.785,25.21,,25.33,278539,3.25,,12.88,,
2014-09-11,25.17,26.04,25.01,,26.03,204558,3.25,,12.8,,
2014-09-12,26.1,26.35,25.72,,26.1,346169,3.25,,13.31,,
2014-09-15,26.19,26.36,25.65,,26.26,287202,3.25,,14.12,,
2014-09-16,26.08,26.95,25.9,,26.82,355390,3.25,,12.73,,
2014-09-17,26.7,28.54,26.555,,28.36,770713,3.25,,12.65,,
2014-09-18,28.58,29.65,28.56,,29.03,633477,3.25,,12.03,,
2014-09-19,29.15,29.39,28.38,,28.42,532269,3.25,,12.11,,
2014-09-22,28.35,28.63,27.9005,,28.27,270603,3.25,,13.69,,
2014-09-23,28.22,28.44,27.52,,27.8,345432,3.25,,14.93,,
2014-09-24,27.81,28.97,27.51,,28.9,471480,3.25,,13.27,,
2014-09-25,28.89,28.9,27.4107,,27.75,385390,3.25,,15.64,,
2014-09-26,27.89,28.7,27.775,,28.41,324954,3.25,,14.85,,
2014-09-29,28.7,29.54,28.51,,29.4,492145,3.25,,15.98,,
2014-09-30,29.4,30.11,29.1,,29.42,651829,3.25,,16.309999,,
2014-10-01,29.42,29.69,28.03,,28.58,829655,3.25,,16.709999,,
2014-10-02,28.42,28.54,26.32,,27.37,792678,3.25,,16.16,,
2014-10-03,27.66,27.8869,27.07,,27.17,369665,3.25,,14.55,,
2014-10-06,27.36,27.42,24.7,,25.16,1151247,3.25,,15.46,,
2014-10-07,25.12,25.275,24.5,,24.6,623711,3.25,,17.200001,,
2014-10-08,24,24.55,23.09,,24.19,981170,3.25,,15.11,,
2014-10-09,24.11,24.25,23.35,,23.46,531128,3.25,,18.76,,
2014-10-10,23.15,23.6,22.38,,22.85,644989,3.25,,21.24,,
2014-10-13,22.85,23.6399,22.73,,23.1,573873,3.25,,24.639999,,
2014-10-14,23.03,23.97,22.78,,23.23,411946,3.25,,22.790001,,
2014-10-15,22.78,23.97,22.33,,23.9,517906,3.25,,25.27,,
2014-10-16,21.89,24.2,21.5,,23.95,442614,3.25,,25.200001,,
2014-10-17,24.75,25.21,24.42,,24.99,493370,3.25,,21.99,,
2014-10-20,25,25.65,25,,25.44,462113,3.25,,18.57,,
2014-10-21,25.62,26.6399,25.49,,26.48,639411,3.25,,16.08,,
2014-10-22,28.8,30.22,28.06,,28.81,2198582,3.25,,17.870001,,
2014-10-23,29.27,30.79,29.17,,30.75,887223,3.25,,16.530001,,
2014-10-24,30.34,31,30.07,,30.55,913954,3.25,,16.110001,,
2014-10-27,30.2,30.8,30.06,,30.7,611572,3.25,,16.040001,,
2014-10-28,30.81,31.89,30.69,,31.53,774565,3.25,,14.39,,
2014-10-29,31.69,31.79,30.74,,31.6,453736,3.25,,15.15,,
