Date,DPRIME,Close/Last,Volume,Open,High,Low
06/21/2024,8.5,905.26,7465581,900.1,917.9499,863.22
06/20/2024,8.5,917.635,13432940,961.29,1014.02,900.32
06/18/2024,8.5,920.01,8762073,897,938.88,883.31
06/17/2024,8.5,887.41,8911764,857.4,921.91,828.09
06/14/2024,8.5,844.54,6598781,846.93,872,825.61
06/13/2024,8.5,871.1,11613680,785,883.17,784
06/12/2024,8.5,774.74,4119000,785,801.3539,766.16
06/11/2024,8.5,767.61,3038731,780,784.98,763.085
06/10/2024,8.5,786.86,4878953,761.65,804,753.03
06/07/2024,8.5,769.11,3444935,763.64,782.9099,758.47
06/06/2024,8.5,777.92,5033935,805,808,755.55
06/05/2024,8.5,802.52,6307489,795,822.54,780.18
06/04/2024,8.5,771.61,4078258,759,780.66,754
06/03/2024,8.5,770.59,6155758,802,806.05,741.22
05/31/2024,8.5,784.51,7407978,816,819.65,760.01
05/30/2024,8.5,827.94,4747575,832,845.24,815.2
05/29/2024,8.5,839.72,4932341,858.63,863.8,827.0901
05/28/2024,8.5,874.72,6235137,899,909.65,865
05/24/2024,8.5,883.88,6850442,858,899.2,838.61
05/23/2024,8.5,847.38,11460230,934.49,972.31,835.6601
05/22/2024,8.5,873.27,5632225,910.12,911.65,862.5139
05/21/2024,8.5,898.95,5918834,889,939.94,877.77
05/20/2024,8.5,903.94,5363130,902,925.25,870.05
05/17/2024,8.5,887.89,5192367,925.2,931.99,878
05/16/2024,8.5,904.4,7009847,924,971.0199,901
05/15/2024,8.5,952.36,9752896,844.01,954.4999,835.27
05/14/2024,8.5,822.37,4996223,775,829.2399,766.7697
05/13/2024,8.5,782.76,2814702,810.82,811.99,762.63
05/10/2024,8.5,798.5,3791338,817.44,833.3899,793.25
05/09/2024,8.5,799.7,3882079,828.51,830.86,790.51
05/08/2024,8.5,822.64,3719604,802.35,843.7688,800.38
05/07/2024,8.5,819.29,4079264,811,834.2,806.26
05/06/2024,8.5,830.35,5342834,791.83,833.0751,786.9001
05/03/2024,8.5,782.7,5232903,770,801.59,768
05/02/2024,8.5,762.52,6496180,767.16,768.21,709.12
05/01/2024,8.5,738.3,13536290,777.36,781.35,700
04/30/2024,8.5,858.8,7369301,876,910.84,851.08
04/29/2024,8.5,890.35,5866306,839,897.84,830
04/26/2024,8.5,857.44,7068025,799.22,861,788.05
04/25/2024,8.5,787.4,5081683,725.96,796.86,721.12
04/24/2024,8.5,754.72,6740386,788.99,806.99,737.05
04/23/2024,8.5,761.86,8342646,730,793.37,714.06
04/22/2024,8.5,717.02,9303530,731.92,733.84,671
