From merged_data,,,,,,,,,From SMCI,,,,,,,,,,,,,
Date,DPRIME,Close/Last,Volume,Open,High,Low,,,Date,Close/Last,Volume,Open,High,Low,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-21,8.5,905.26,7465581,900.1,917.9499,863.22,,,06/21/2024,$905.26 ,7465581,$900.10 ,$917.95 ,$863.22 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-20,8.5,917.635,13432940,961.29,1014.02,900.32,,,06/20/2024,$917.64 ,13432940,$961.29 ,"$1,014.02 ",$900.32 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-18,8.5,920.01,8762073,897,938.88,883.31,,,06/18/2024,$920.01 ,8762073,$897.00 ,$938.88 ,$883.31 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-17,8.5,887.41,8911764,857.4,921.91,828.09,,,06/17/2024,$887.41 ,8911764,$857.40 ,$921.91 ,$828.09 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-14,8.5,844.54,6598781,846.93,872,825.61,,,06/14/2024,$844.54 ,6598781,$846.93 ,$872.00 ,$825.61 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-13,8.5,871.1,11613680,785,883.17,784,,,06/13/2024,$871.10 ,11613680,$785.00 ,$883.17 ,$784.00 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-12,8.5,774.74,4119000,785,801.3539,766.16,,,06/12/2024,$774.74 ,4119000,$785.00 ,$801.35 ,$766.16 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-11,8.5,767.61,3038731,780,784.98,763.085,,,06/11/2024,$767.61 ,3038731,$780.00 ,$784.98 ,$763.09 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-10,8.5,786.86,4878953,761.65,804,753.03,,,06/10/2024,$786.86 ,4878953,$761.65 ,$804.00 ,$753.03 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-07,8.5,769.11,3444935,763.64,782.9099,758.47,,,06/07/2024,$769.11 ,3444935,$763.64 ,$782.91 ,$758.47 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-06,8.5,777.92,5033935,805,808,755.55,,,06/06/2024,$777.92 ,5033935,$805.00 ,$808.00 ,$755.55 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-05,8.5,802.52,6307489,795,822.54,780.18,,,06/05/2024,$802.52 ,6307489,$795.00 ,$822.54 ,$780.18 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-04,8.5,771.61,4078258,759,780.66,754,,,06/04/2024,$771.61 ,4078258,$759.00 ,$780.66 ,$754.00 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-06-03,8.5,770.59,6155758,802,806.05,741.22,,,06/03/2024,$770.59 ,6155758,$802.00 ,$806.05 ,$741.22 ,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
