Date,Close/Last,Volume,Open,High,Low
2019-06-25,33.51,424234,34.53,34.6,33.38
2019-06-26,33.82,213329,33.92,34.33,33.66
2019-06-27,35.45,680218,33.8,35.81,33.79
2019-06-28,34.71,1197134,35.18,35.695,34.08
2019-07-01,35.27,297535,35.27,35.5,35.02
2019-07-02,34.52,155392,35.23,35.23,34.15
2019-07-03,34.05,109218,34.46,34.61,33.3915
2019-07-05,33.79,88337,33.7,33.93,33.24
2019-07-08,33.35,142522,33.49,33.86,33.0978
2019-07-09,33.61,160295,33.13,33.65,32.84
2019-07-10,33.58,154846,33.79,34.43,33.55
2019-07-11,33.28,164771,33.71,33.71,33.04
2019-07-12,33.59,136553,33.38,33.82,33.28
2019-07-15,33.93,165531,33.59,34.1,33.3
2019-07-16,33.12,151114,33.9,33.9,33.12
2019-07-17,33.08,165323,33.06,33.25,32.55
2019-07-18,33.49,176521,33.13,34.15,33.1
2019-07-19,33.63,173465,33.45,33.9,33.08
2019-07-22,34.22,139336,33.65,34.88,33.65
2019-07-23,34.52,115099,34.36,34.59,34.15
2019-07-24,36.13,262299,34.76,36.25,34.76
2019-07-25,35.14,302963,35.87,36.38,35.11
2019-07-26,35.2,127401,35.33,35.4,34.6388
2019-07-29,35.1,150108,35.08,35.32,34.87
2019-07-30,35.75,274083,34.75,35.97,34.74
2019-07-31,31.38,1034996,32.66,34.23,30.5859
2019-08-01,30.84,371053,32.87,32.87,30.63
2019-08-02,30.83,246900,30.69,31.04,30.27
2019-08-05,29.41,234147,30.05,30.47,29.02
2019-08-06,28.84,211381,29.7,29.97,28.6
2019-08-07,28.59,210969,28.51,29.11,28.15
2019-08-08,28.48,215313,28.82,28.9729,28.39
2019-08-09,28.25,198928,28.36,28.41,27.8
2019-08-12,28.14,186754,28.01,28.47,27.97
2019-08-13,28.41,80543,28.15,28.94,28.15
2019-08-14,28.12,236417,28.04,28.41,27.66
2019-08-15,27.81,203304,28.14,28.16,27.29
2019-08-16,28.45,151383,28.01,28.46,27.79
2019-08-19,28.93,166643,28.92,29.07,28.53
2019-08-20,28.34,147509,28.92,29.1,28.31
2019-08-21,28.93,152275,28.49,28.95,28.03
2019-08-22,28.95,122698,28.99,29.11,28.42
2019-08-23,27.68,167130,28.61,28.61,27.32
2019-08-26,27.34,135799,28.15,28.15,27.25
2019-08-27,27.09,125510,27.59,27.59,26.64
2019-08-28,26.99,117464,26.92,27.35,26.5102
2019-08-29,27.86,200494,27.38,28.08,27.33
2019-08-30,27.29,197679,28.11,28.11,26.82
2019-09-03,27.32,161590,27.09,27.52,26.95
2019-09-04,27.83,101599,27.55,28.14,27.55
2019-09-05,28.33,166648,28.08,29.17,27.94
2019-09-06,28.0,172361,28.39,28.42,27.87
2019-09-09,28.87,219226,28.21,28.91,28.17
2019-09-10,29.36,223242,28.77,29.43,28.53
2019-09-11,30.81,239001,29.57,30.91,29.35
2019-09-12,31.41,254774,30.88,31.5,30.185
2019-09-13,30.86,302394,31.29,31.35,30.6
2019-09-16,31.56,177648,30.65,31.7,30.64
2019-09-17,31.97,148337,31.48,32.0,31.16
2019-09-18,32.0,242574,31.92,32.04,31.58
2019-09-19,32.1,267566,32.0,32.62,31.93
2019-09-20,31.83,542423,32.07,32.165,31.55
2019-09-23,32.72,230137,31.85,32.91,31.62
2019-09-24,32.8,306713,32.75,33.22,32.2
2019-09-25,32.77,139169,32.68,33.1199,32.22
2019-09-26,32.64,113981,32.75,32.79,32.22
2019-09-27,32.38,190781,32.66,32.66,31.76
2019-09-30,32.62,186867,32.41,32.97,32.26
2019-10-01,32.65,161647,32.76,33.65,32.16
2019-10-02,32.48,194990,32.3,32.74,32.0419
2019-10-03,32.265,181962,32.29,32.61,31.38
2019-10-04,33.15,116620,32.41,33.15,32.36
2019-10-07,33.13,137435,33.14,33.55,32.91
2019-10-08,32.08,138646,32.78,33.02,32.01
2019-10-09,32.63,128616,32.23,32.88,32.14
2019-10-10,32.62,150918,32.76,33.15,32.27
2019-10-11,32.91,155727,33.09,33.73,32.91
