Date,DPRIME,Close,Volume,Open,High,Low
2014-06-24,3.25,25.34,243530,25.52,25.98,25.303
2014-06-25,3.25,25.27,491864,25.24,25.49,24.57
2014-06-26,3.25,25.45,342669,26.0,26.0,25.21
2014-06-27,3.25,24.69,1482237,25.24,25.405,24.69
2014-06-30,3.25,25.27,648122,24.69,25.39,24.61
2014-07-01,3.25,25.44,500711,25.34,25.74,25.27
2014-07-02,3.25,25.55,428821,25.47,25.675,25.4101
2014-07-03,3.25,25.95,246299,25.61,26.02,25.5
2014-07-07,3.25,25.45,334565,25.89,26.02,25.41
2014-07-08,3.25,24.25,689479,25.37,25.4,23.79
2014-07-09,3.25,24.9,407860,24.32,25.19,24.11
2014-07-10,3.25,24.57,446854,24.44,24.93,23.61
2014-07-11,3.25,25.08,326618,24.49,25.27,24.25
2014-07-14,3.25,24.92,327484,25.27,25.33,24.71
2014-07-15,3.25,24.43,285077,24.93,24.93,24.15
2014-07-16,3.25,24.44,207068,24.66,24.9765,24.4127
2014-07-17,3.25,24.17,252146,24.3,24.65,24.09
2014-07-18,3.25,25.43,300099,24.13,25.46,24.13
2014-07-21,3.25,26.2,483345,25.27,26.35,25.07
2014-07-22,3.25,26.55,633409,26.38,27.28,26.21
2014-07-23,3.25,25.76,335829,26.55,26.55,25.59
2014-07-24,3.25,25.68,279673,25.27,26.26,25.27
2014-07-25,3.25,25.15,255773,25.42,25.5,24.74
2014-07-28,3.25,25.04,188182,25.1,25.27,24.64
2014-07-29,3.25,26.35,405297,25.2,26.55,25.2
2014-07-30,3.25,26.6,283143,26.53,26.764,26.12
2014-07-31,3.25,26.17,591691,26.22,26.59,25.75
2014-08-01,3.25,25.59,356106,26.28,26.3,25.09
2014-08-04,3.25,26.75,546020,25.85,26.92,25.72
2014-08-05,3.25,26.89,540711,26.69,26.978,26.2153
2014-08-06,3.25,24.81,1554424,25.89,26.0399,23.3501
2014-08-07,3.25,24.92,260562,24.84,25.6301,24.6301
2014-08-08,3.25,24.33,406546,24.62,24.9,24.0801
2014-08-11,3.25,24.79,318732,24.37,25.08,24.12
2014-08-12,3.25,24.63,204626,24.83,24.99,24.365
2014-08-13,3.25,25.14,314901,24.76,25.2,24.68
2014-08-14,3.25,25.41,353228,25.35,25.7,25.19
2014-08-15,3.25,25.32,394283,25.78,25.8699,25.0
2014-08-18,3.25,25.81,390192,25.73,26.05,25.26
2014-08-19,3.25,25.97,263495,25.92,26.05,25.64
2014-08-20,3.25,25.27,405409,25.7,25.99,25.15
2014-08-21,3.25,24.98,219635,25.15,25.28,24.59
2014-08-22,3.25,24.55,417346,24.7,25.03,24.14
2014-08-25,3.25,24.57,263107,24.82,25.23,24.5
2014-08-26,3.25,24.7,388975,24.58,24.98,24.54
2014-08-27,3.25,25.07,256918,24.7,25.28,24.7
2014-08-28,3.25,24.73,206037,24.93,25.03,24.55
2014-08-29,3.25,24.49,324088,24.75,24.9,24.3
2014-09-02,3.25,27.0,860789,24.9,27.05,24.9
2014-09-03,3.25,25.69,590683,27.23,27.64,25.46
2014-09-04,3.25,25.56,317537,25.85,26.176,25.28
2014-09-05,3.25,25.49,194141,25.56,25.86,25.17
2014-09-08,3.25,26.57,324047,25.51,26.8,25.51
2014-09-09,3.25,25.61,289936,26.56,26.8499,25.57
2014-09-10,3.25,25.33,278539,25.68,25.785,25.21
2014-09-11,3.25,26.03,204558,25.17,26.04,25.01
2014-09-12,3.25,26.1,346169,26.1,26.35,25.72
2014-09-15,3.25,26.26,287202,26.19,26.36,25.65
2014-09-16,3.25,26.82,355390,26.08,26.95,25.9
2014-09-17,3.25,28.36,770713,26.7,28.54,26.555
2014-09-18,3.25,29.03,633477,28.58,29.65,28.56
2014-09-19,3.25,28.42,532269,29.15,29.39,28.38
2014-09-22,3.25,28.27,270603,28.35,28.63,27.9005
2014-09-23,3.25,27.8,345432,28.22,28.44,27.52
2014-09-24,3.25,28.9,471480,27.81,28.97,27.51
2014-09-25,3.25,27.75,385390,28.89,28.9,27.4107
2014-09-26,3.25,28.41,324954,27.89,28.7,27.775
2014-09-29,3.25,29.4,492145,28.7,29.54,28.51
2014-09-30,3.25,29.42,651829,29.4,30.11,29.1
2014-10-01,3.25,28.58,829655,29.42,29.69,28.03
2014-10-02,3.25,27.37,792678,28.42,28.54,26.32
2014-10-03,3.25,27.17,369665,27.66,27.8869,27.07
2014-10-06,3.25,25.16,1151247,27.36,27.42,24.7
2014-10-07,3.25,24.6,623711,25.12,25.275,24.5
2014-10-08,3.25,24.19,981170,24.0,24.55,23.09
2014-10-09,3.25,23.46,531128,24.11,24.25,23.35
2014-10-10,3.25,22.85,644989,23.15,23.6,22.38
2014-10-13,3.25,23.1,573873,22.85,23.6399,22.73
2014-10-14,3.25,23.23,411946,23.03,23.97,22.78
2014-10-15,3.25,23.9,517906,22.78,23.97,22.33
2014-10-16,3.25,23.95,442614,21.89,24.2,21.5
2014-10-17,3.25,24.99,493370,24.75,25.21,24.42
2014-10-20,3.25,25.44,462113,25.0,25.65,25.0
2014-10-21,3.25,26.48,639411,25.62,26.6399,25.49
2014-10-22,3.25,28.81,2198582,28.8,30.22,28.06
2014-10-23,3.25,30.75,887223,29.27,30.79,29.17
2014-10-24,3.25,30.55,913954,30.34,31.0,30.07
2014-10-27,3.25,30.7,611572,30.2,30.8,30.06
2014-10-28,3.25,31.53,774565,30.81,31.89,30.69
2014-10-29,3.25,31.6,453736,31.69,31.79,30.74
2014-10-30,3.25,31.78,393757,31.53,32.08,31.24
2014-10-31,3.25,31.96,504638,32.22,32.43,31.78
2014-11-03,3.25,32.68,495810,31.92,33.0,31.7
2014-11-04,3.25,32.77,431977,32.61,32.997,32.07
2014-11-05,3.25,32.25,528212,32.97,33.06,31.93
2014-11-06,3.25,32.9,539556,32.47,33.1848,32.41
2014-11-07,3.25,33.93,484517,32.78,33.95,32.67
2014-11-10,3.25,33.7,406928,33.93,34.0,33.255
2014-11-11,3.25,33.74,404992,33.66,34.03,32.8301
2014-11-12,3.25,33.67,229321,33.43,33.84,33.25
2014-11-13,3.25,33.71,265566,33.67,34.36,33.66
2014-11-14,3.25,34.67,424391,33.81,34.95,33.81
2014-11-17,3.25,34.18,408695,34.67,34.755,33.77
2014-11-18,3.25,34.19,559971,34.49,34.6,33.89
2014-11-19,3.25,33.45,416794,34.0,34.35,33.22
2014-11-20,3.25,33.35,473390,33.08,33.45,32.3
2014-11-21,3.25,33.75,316590,34.03,34.6,33.7
2014-11-24,3.25,34.02,332378,34.07,34.35,33.44
2014-11-25,3.25,33.55,177618,34.18,34.18,33.51
2014-11-26,3.25,33.81,227166,33.47,33.91,33.391
2014-11-28,3.25,33.28,145730,34.02,34.02,33.19
2014-12-01,3.25,32.2,292757,33.12,33.17,32.2
2014-12-02,3.25,32.76,283464,32.13,32.77,31.64
2014-12-03,3.25,33.67,344029,32.76,33.9,32.47
2014-12-04,3.25,33.03,278668,33.67,33.945,32.95
2014-12-05,3.25,33.26,244346,33.08,33.45,32.9125
2014-12-08,3.25,31.61,391148,33.24,33.24,31.17
2014-12-09,3.25,32.01,480355,31.34,32.28,30.3
2014-12-10,3.25,31.32,301485,31.82,32.41,31.2593
2014-12-11,3.25,31.31,303901,31.33,32.27,31.19
2014-12-12,3.25,31.38,317989,30.93,31.81,30.66
2014-12-15,3.25,31.44,273588,31.63,31.99,30.78
2014-12-16,3.25,31.29,250853,31.31,31.89,31.09
2014-12-17,3.25,32.64,357284,31.26,32.749,30.9813
2014-12-18,3.25,34.465,558558,33.03,34.56,33.01
2014-12-19,3.25,34.93,1248193,34.66,35.32,34.065
2014-12-22,3.25,36.53,419035,35.28,36.66,35.22
2014-12-23,3.25,35.91,400472,36.89,37.0,35.37
2014-12-24,3.25,36.39,140541,36.18,36.71,35.77
2014-12-26,3.25,36.39,143390,36.58,36.67,36.16
2014-12-29,3.25,35.39,240560,36.5,36.55,35.07
2014-12-30,3.25,34.93,197203,35.18,35.689,34.52
2014-12-31,3.25,34.88,220565,35.17,35.58,34.51
2015-01-02,3.25,34.73,207315,35.23,35.5799,34.1
2015-01-05,3.25,33.67,390016,34.47,35.0,33.18
2015-01-06,3.25,32.76,338146,33.7,34.1,32.32
2015-01-07,3.25,33.0,355263,33.07,33.24,32.21
2015-01-08,3.25,34.73,360929,33.33,35.14,33.21
2015-01-09,3.25,34.53,207412,34.85,35.12,34.19
2015-01-12,3.25,34.16,233915,34.7,34.85,33.69
2015-01-13,3.25,34.21,336712,34.33,35.21,33.27
2015-01-14,3.25,33.7,261053,33.93,33.962,33.09
2015-01-15,3.25,33.15,591269,33.92,33.92,32.88
2015-01-16,3.25,35.07,524435,33.23,35.15,33.08
2015-01-20,3.25,37.74,1310882,35.29,38.66,34.97
2015-01-21,3.25,34.11,2753873,39.21,39.8,33.9301
2015-01-22,3.25,36.88,698646,34.5,36.89,34.0116
2015-01-23,3.25,36.35,667189,36.65,37.01,35.8
2015-01-26,3.25,36.71,598233,36.29,36.89,36.01
2015-01-27,3.25,37.33,685369,36.17,37.98,35.39
2015-01-28,3.25,37.39,656153,38.0,38.36,37.3
2015-01-29,3.25,37.87,382315,37.42,38.08,37.0114
2015-01-30,3.25,36.57,498724,37.62,38.19,36.527
2015-02-02,3.25,36.47,450389,37.0,37.0,35.3126
2015-02-03,3.25,35.88,486460,36.57,37.11,35.65
2015-02-04,3.25,35.69,384522,35.81,36.25,35.51
2015-02-05,3.25,36.64,577182,35.97,36.77,35.555
2015-02-06,3.25,37.13,447967,36.85,37.35,36.23
2015-02-09,3.25,37.19,313035,36.88,37.43,36.54
2015-02-10,3.25,39.2,841480,37.7,39.27,37.183
2015-02-11,3.25,39.19,905583,39.8,40.44,39.13
2015-02-12,3.25,40.04,552221,39.67,40.125,39.3108
2015-02-13,3.25,39.74,475197,40.0,40.38,39.33
2015-02-17,3.25,39.94,381356,39.67,40.12,39.58
2015-02-18,3.25,39.11,379634,39.65,39.87,38.53
2015-02-19,3.25,39.17,200157,39.19,39.38,38.61
2015-02-20,3.25,39.24,219286,39.3,39.3,38.66
2015-02-23,3.25,38.67,475272,39.27,39.35,37.91
2015-02-24,3.25,40.73,932869,38.78,40.77,38.61
2015-02-25,3.25,40.15,859361,41.0,41.0,38.76
2015-02-26,3.25,41.13,832147,40.35,42.0,40.21
2015-02-27,3.25,40.18,539597,41.77,41.7799,40.14
2015-03-02,3.25,40.33,389473,40.21,40.56,39.71
2015-03-03,3.25,39.8,423030,40.23,40.31,39.33
2015-03-04,3.25,39.24,300693,39.61,39.61,38.9201
2015-03-05,3.25,39.35,289818,39.37,40.145,38.94
2015-03-06,3.25,38.11,336820,39.2,39.49,38.05
2015-03-09,3.25,38.06,418779,38.12,38.46,37.64
2015-03-10,3.25,37.05,538439,37.75,37.9,36.72
2015-03-11,3.25,38.18,365788,37.24,38.23,37.06
2015-03-12,3.25,37.31,580425,38.3,38.3668,36.76
2015-03-13,3.25,36.06,1069082,37.15,37.27,35.31
2015-03-16,3.25,36.39,479173,36.06,37.09,36.06
2015-03-17,3.25,35.43,684110,36.25,36.26,35.01
2015-03-18,3.25,35.42,665960,35.45,35.765,35.15
2015-03-19,3.25,36.67,451882,35.24,36.75,35.2
2015-03-20,3.25,37.16,527523,36.75,37.68,36.72
2015-03-23,3.25,36.64,379854,37.16,37.54,36.6
2015-03-24,3.25,35.36,672320,36.62,36.79,35.21
2015-03-25,3.25,33.32,916736,35.36,35.527,33.25
2015-03-26,3.25,33.2,850985,32.39,33.52,32.09
2015-03-27,3.25,33.91,444820,33.04,34.12,33.04
2015-03-30,3.25,34.11,375596,33.92,34.59,33.91
2015-03-31,3.25,33.21,410072,33.96,34.03,33.17
2015-04-01,3.25,33.72,397243,33.13,33.8,32.67
2015-04-02,3.25,34.07,365682,33.76,34.3,33.76
2015-04-06,3.25,33.67,250427,33.82,34.18,33.47
2015-04-07,3.25,33.67,264310,33.79,34.14,33.4109
2015-04-08,3.25,34.25,288237,33.73,34.7,33.69
2015-04-09,3.25,34.54,321883,34.31,34.605,33.68
2015-04-10,3.25,35.12,279373,34.6,35.42,34.42
2015-04-13,3.25,35.32,369446,35.31,35.93,35.22
2015-04-14,3.25,35.45,257050,35.41,35.78,35.08
2015-04-15,3.25,36.95,703932,35.54,37.19,35.46
2015-04-16,3.25,37.77,530131,36.96,37.99,36.39
2015-04-17,3.25,36.81,455305,37.33,37.33,36.46
2015-04-20,3.25,37.06,507926,36.92,37.86,36.81
2015-04-21,3.25,34.81,1791775,37.2,37.52,34.56
2015-04-22,3.25,31.9,4052175,33.75,34.0,30.63
2015-04-23,3.25,31.23,768719,31.72,31.806,31.075
2015-04-24,3.25,30.44,853644,31.21,31.52,30.16
2015-04-27,3.25,30.79,974002,30.43,31.405,30.4
2015-04-28,3.25,29.68,954581,30.66,30.75,29.56
2015-04-29,3.25,29.84,1089215,29.49,29.98,28.86
2015-04-30,3.25,28.77,740101,29.67,30.03,28.34
2015-05-01,3.25,29.28,468518,28.83,29.515,28.8
2015-05-04,3.25,29.84,589370,29.3,30.17,29.29
2015-05-05,3.25,29.1,500940,29.78,30.0,28.87
2015-05-06,3.25,29.85,674350,29.72,30.52,29.68
2015-05-07,3.25,30.1,583188,29.87,30.38,29.644
2015-05-08,3.25,30.9,764485,30.5,31.47,30.11
2015-05-11,3.25,30.93,448024,30.91,31.43,30.79
2015-05-12,3.25,31.19,536670,30.88,31.51,30.63
2015-05-13,3.25,32.0,758869,31.25,32.35,31.25
2015-05-14,3.25,33.24,694086,32.32,33.32,32.0025
2015-05-15,3.25,33.09,810276,33.26,33.28,32.62
2015-05-18,3.25,33.48,814391,33.05,33.525,32.62
2015-05-19,3.25,32.88,891827,33.48,33.48,32.61
2015-05-20,3.25,33.04,811731,32.45,33.32,32.44
2015-05-21,3.25,33.26,384087,32.97,33.305,32.61
2015-05-22,3.25,33.6,421131,33.2,33.81,33.1501
2015-05-26,3.25,33.51,755069,33.35,33.86,33.1
2015-05-27,3.25,34.2,628221,33.49,34.35,33.3
2015-05-28,3.25,33.77,427474,34.22,34.46,33.63
2015-05-29,3.25,33.46,667221,33.74,33.91,33.3
2015-06-01,3.25,35.21,892575,34.74,35.51,33.75
2015-06-02,3.25,34.6,499597,35.01,35.15,34.5
2015-06-03,3.25,34.96,311347,34.65,35.37,34.47
